Subject Number,Subject,Review Board,Subject Area,Scientific Discipline
402-01,"Engineering Design, Machine Elements, Product Development","402 
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
402-02,Mechanics,"402 
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
402-03,"Lightweight Construction, Textile Technology","402 
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
402-04,Acoustics,"402 
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
403-01,Chemical and Thermal Process Engineering,"403 
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences"
403-02,Technical Chemistry,"403 
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences"
403-03,Mechanical Process Engineering,"403 
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences"
403-04,Biological Process Engineering,"403 
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences"
404-01,Energy Process Engineering,"404 
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences"
404-02,Technical Thermodynamics,"404 
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences"
404-03,Fluid Mechanics,"404 
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences"
404-04,Hydraulic and Turbo Engines and Piston Engines,"404 
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences"
405-01,"Metallurgical, Thermal and Thermomechanical Treatment of Materials","405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences"
405-02,Materials in Sintering Processes and Generative Manufacturing Processes,"405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences"
405-03,Coating and Surface Technology,"405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences"
405-04,Mechanical Properties of Metallic Materials and their Microstructural Origins,"405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences"
405-05,"Glass, Ceramics and Derived Composites","405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences"
405-06,Polymeric and Biogenic Materials and Derived Composites,"405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences"
406-01,Synthesis and Properties of Functional Materials,"406
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences"
406-02,Biomaterials,"406
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences"
406-03,Thermodynamics and Kinetics as well as Properties of Phases and Microstructure of Materials,"406
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences"
